"order","metEns","runID","start.year","end.year","Status"
1,"NLDAS_raw","NLDAS_raw",1999,2014,""
2,"Ameriflux_raw","Ameriflux_raw1",1999,2008,""
3,"Ameriflux_raw","Ameriflux_raw2",2000,2004,""
4,"NLDAS_downscaled_004.06","TDM_004.06",1999,2014,""
5,"NLDAS_downscaled_003.02","TDM_003.02",1999,2014,""
6,"NLDAS_downscaled_008.07","TDM_008.07",1999,2014,""
7,"NLDAS_downscaled_001.06","TDM_001.06",1999,2014,""
8,"NLDAS_downscaled_009.06","TDM_009.06",1999,2014,""
9,"NLDAS_downscaled_001.07","TDM_001.07",1999,2014,""
10,"NLDAS_downscaled_009.02","TDM_009.02",1999,2014,""
11,"NLDAS_downscaled_008.09","TDM_008.09",1999,2014,""
12,"NLDAS_downscaled_003.10","TDM_003.10",1999,2014,""
13,"NLDAS_downscaled_008.08","TDM_008.08",1999,2014,""
14,"NLDAS_downscaled_004.09","TDM_004.09",1999,2014,""
15,"NLDAS_downscaled_004.04","TDM_004.04",1999,2014,""
16,"NLDAS_downscaled_003.09","TDM_003.09",1999,2014,""
17,"NLDAS_downscaled_010.02","TDM_010.02",1999,2014,""
18,"NLDAS_downscaled_005.04","TDM_005.04",1999,2014,""
19,"NLDAS_downscaled_005.05","TDM_005.05",1999,2014,""
20,"NLDAS_downscaled_003.06","TDM_003.06",1999,2014,""
21,"NLDAS_downscaled_008.06","TDM_008.06",1999,2014,""
22,"NLDAS_downscaled_003.04","TDM_003.04",1999,2014,""
23,"NLDAS_downscaled_002.01","TDM_002.01",1999,2014,""
24,"NLDAS_downscaled_003.03","TDM_003.03",1999,2014,""
25,"NLDAS_downscaled_001.05","TDM_001.05",1999,2014,""
26,"NLDAS_downscaled_004.07","TDM_004.07",1999,2014,""
27,"NLDAS_downscaled_006.10","TDM_006.10",1999,2014,""
28,"NLDAS_downscaled_002.09","TDM_002.09",1999,2014,""
29,"NLDAS_downscaled_005.06","TDM_005.06",1999,2014,""
30,"NLDAS_downscaled_006.07","TDM_006.07",1999,2014,""
31,"NLDAS_downscaled_007.09","TDM_007.09",1999,2014,""
32,"NLDAS_downscaled_001.01","TDM_001.01",1999,2014,""
33,"NLDAS_downscaled_010.05","TDM_010.05",1999,2014,""
34,"NLDAS_downscaled_003.08","TDM_003.08",1999,2014,""
35,"NLDAS_downscaled_007.08","TDM_007.08",1999,2014,""
36,"NLDAS_downscaled_002.03","TDM_002.03",1999,2014,""
37,"NLDAS_downscaled_008.03","TDM_008.03",1999,2014,""
38,"NLDAS_downscaled_010.06","TDM_010.06",1999,2014,""
39,"NLDAS_downscaled_003.07","TDM_003.07",1999,2014,""
40,"NLDAS_downscaled_009.07","TDM_009.07",1999,2014,""
41,"NLDAS_downscaled_002.07","TDM_002.07",1999,2014,""
42,"NLDAS_downscaled_005.09","TDM_005.09",1999,2014,""
43,"NLDAS_downscaled_006.01","TDM_006.01",1999,2014,""
44,"NLDAS_downscaled_010.01","TDM_010.01",1999,2014,""
45,"NLDAS_downscaled_003.01","TDM_003.01",1999,2014,""
46,"NLDAS_downscaled_002.05","TDM_002.05",1999,2014,""
47,"NLDAS_downscaled_010.03","TDM_010.03",1999,2014,""
48,"NLDAS_downscaled_007.01","TDM_007.01",1999,2014,""
49,"NLDAS_downscaled_001.09","TDM_001.09",1999,2014,""
50,"NLDAS_downscaled_005.03","TDM_005.03",1999,2014,""
51,"NLDAS_downscaled_004.08","TDM_004.08",1999,2014,""
52,"NLDAS_downscaled_008.05","TDM_008.05",1999,2014,""
53,"NLDAS_downscaled_004.03","TDM_004.03",1999,2014,""
54,"NLDAS_downscaled_010.04","TDM_010.04",1999,2014,""
55,"NLDAS_downscaled_008.10","TDM_008.10",1999,2014,""
56,"NLDAS_downscaled_009.03","TDM_009.03",1999,2014,""
57,"NLDAS_downscaled_001.03","TDM_001.03",1999,2014,""
58,"NLDAS_downscaled_005.01","TDM_005.01",1999,2014,""
59,"NLDAS_downscaled_007.06","TDM_007.06",1999,2014,""
60,"NLDAS_downscaled_001.02","TDM_001.02",1999,2014,""
61,"NLDAS_downscaled_004.01","TDM_004.01",1999,2014,""
62,"NLDAS_downscaled_007.05","TDM_007.05",1999,2014,""
63,"NLDAS_downscaled_010.10","TDM_010.10",1999,2014,""
64,"NLDAS_downscaled_009.09","TDM_009.09",1999,2014,""
65,"NLDAS_downscaled_010.08","TDM_010.08",1999,2014,""
66,"NLDAS_downscaled_009.04","TDM_009.04",1999,2014,""
67,"NLDAS_downscaled_002.02","TDM_002.02",1999,2014,""
68,"NLDAS_downscaled_009.10","TDM_009.10",1999,2014,""
69,"NLDAS_downscaled_006.08","TDM_006.08",1999,2014,""
70,"NLDAS_downscaled_006.05","TDM_006.05",1999,2014,""
71,"NLDAS_downscaled_002.06","TDM_002.06",1999,2014,""
72,"NLDAS_downscaled_001.10","TDM_001.10",1999,2014,""
73,"NLDAS_downscaled_009.08","TDM_009.08",1999,2014,""
74,"NLDAS_downscaled_006.04","TDM_006.04",1999,2014,""
75,"NLDAS_downscaled_008.02","TDM_008.02",1999,2014,""
76,"NLDAS_downscaled_008.01","TDM_008.01",1999,2014,""
77,"NLDAS_downscaled_010.09","TDM_010.09",1999,2014,""
78,"NLDAS_downscaled_005.08","TDM_005.08",1999,2014,""
79,"NLDAS_downscaled_004.02","TDM_004.02",1999,2014,""
80,"NLDAS_downscaled_003.05","TDM_003.05",1999,2014,""
81,"NLDAS_downscaled_007.04","TDM_007.04",1999,2014,""
82,"NLDAS_downscaled_001.04","TDM_001.04",1999,2014,""
83,"NLDAS_downscaled_004.05","TDM_004.05",1999,2014,""
84,"NLDAS_downscaled_009.05","TDM_009.05",1999,2014,""
